Unnamed: 0,Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio,Salary_Currency,salary_in_usd,Salary_In_USD
,2020-01-01,Data Engineer,EX,FT,70000.0,ES,ES,L,50,EUR,79833.0,70000.0
,2020-01-01,Data Scientist,MI,FT,70000.0,DE,DE,L,0,EUR,79833.0,70000.0
,2020-01-01,Data Engineer,MI,FT,65000.0,AT,AT,L,50,EUR,74130.0,65000.0
,2020-01-01,Data Engineer,MI,FT,61500.0,FR,FR,L,50,EUR,70139.0,61500.0
,2020-01-01,Staff Data Analyst,EN,CT,60000.0,CA,CA,L,50,CAD,44753.0,60000.0
,2020-01-01,Sales Data Analyst,MI,CT,60000.0,NG,NG,M,0,USD,60000.0,60000.0
,2020-01-01,Data Scientist,SE,FT,60000.0,GR,US,L,100,EUR,68428.0,60000.0
,2020-01-01,Data Scientist,MI,FT,60000.0,GB,GB,S,100,GBP,76958.0,60000.0
,2020-01-01,Computer Vision Engineer,SE,FL,60000.0,RU,US,S,100,USD,60000.0,60000.0
,2020-01-01,Lead Data Engineer,MI,FT,56000.0,PT,US,M,100,USD,56000.0,56000.0
,2020-01-01,Data Scientist,EN,FT,55000.0,DE,DE,S,50,EUR,62726.0,55000.0
,2020-01-01,Data Engineer,MI,FT,51999.0,DE,DE,S,100,EUR,59303.0,51999.0
,2020-01-01,Data Scientist,MI,FT,11000000.0,HU,HU,L,50,HUF,35735.0,36300.0
,2020-01-01,ML Engineer,EN,PT,14000.0,DE,DE,S,100,EUR,15966.0,14000.0
66.0,2020-01-01,Data Scientist,EN,FT,4991076.0,DE,DE,S,50,,,4991076.0
55.0,2020-01-01,Computer Vision Engineer,SE,FL,4774170.0,RU,US,S,100,,,4774170.0
3.0,2020-01-01,Big Data Engineer,SE,FT,8674985.0,GB,GB,M,50,,,8674985.0
59.0,2020-01-01,Data Scientist,SE,FT,9548340.0,US,US,L,50,,,9548340.0
69.0,2020-01-01,Data Scientist,EN,FT,8354798.0,US,US,S,100,,,8354798.0
40.0,2020-01-01,Machine Learning Engineer,EN,FT,10980591.0,US,US,S,100,,,10980591.0
39.0,2020-01-01,Data Analyst,EN,FT,795695.0,NG,NG,S,100,,,795695.0
27.0,2020-01-01,Research Scientist,EN,FT,3341919.0,NL,NL,L,50,,,3341919.0
21.0,2020-01-01,Machine Learning Engineer,MI,FT,3447826.0,CN,CN,M,0,,,3447826.0
45.0,2020-01-01,Data Engineer,MI,FT,8981169.0,GB,GB,L,50,,,8981169.0
10.0,2020-01-01,Lead Data Engineer,SE,FT,9946188.0,NZ,NZ,S,50,,,9946188.0
57.0,2020-01-01,Data Scientist,MI,FT,3085387.0,ES,ES,M,100,,,3085387.0
11.0,2020-01-01,Data Scientist,EN,FT,4083586.0,FR,FR,S,0,,,4083586.0
12.0,2020-01-01,Data Scientist,MI,FT,3221053.0,IN,IN,L,0,,,3221053.0
5.0,2020-01-01,Machine Learning Engineer,SE,FT,11935425.0,US,US,L,50,,,11935425.0
58.0,2020-01-01,Data Scientist,MI,FT,9389201.0,US,US,M,100,,,9389201.0
13.0,2020-01-01,Data Scientist,EN,FT,3176096.0,FR,FR,M,0,,,3176096.0
64.0,2020-01-01,Data Scientist,SE,FT,32782634.0,US,US,L,100,,,32782634.0
26.0,2020-01-01,Director of Data Science,EX,FT,25860088.0,US,US,L,100,,,25860088.0
9.0,2020-01-01,Business Data Analyst,MI,FT,10741883.0,US,US,L,100,,,10741883.0
6.0,2020-01-01,Data Analyst,EN,FT,5729004.0,US,US,L,100,,,5729004.0
61.0,2020-01-01,Data Engineer,MI,FT,8752645.0,US,US,L,100,,,8752645.0
2.0,2020-01-01,Machine Learning Scientist,SE,FT,20688070.0,JP,JP,S,0,,,20688070.0
19.0,2020-01-01,Data Science Consultant,EN,FT,454103.0,IN,IN,M,50,,,454103.0
38.0,2020-01-01,Machine Learning Engineer,EN,FT,19892375.0,US,US,L,50,,,19892375.0
48.0,2020-01-01,Data Engineer,SE,FT,14959066.0,US,US,L,100,,,14959066.0
8.0,2020-01-01,Data Scientist,MI,FT,2843416.0,HU,HU,L,50,,,2843416.0
54.0,2020-01-01,Data Engineer,EN,FT,4355794.0,PK,DE,L,100,,,4355794.0
23.0,2020-01-01,Data Engineer,SE,FT,3811299.0,GR,GR,L,50,,,3811299.0
24.0,2020-01-01,BI Data Analyst,MI,FT,7797811.0,US,US,M,0,,,7797811.0
37.0,2020-01-01,Data Science Consultant,MI,FT,8195659.0,US,US,L,100,,,8195659.0
25.0,2020-01-01,Lead Data Scientist,MI,FT,9150493.0,AE,AE,L,0,,,9150493.0
52.0,2020-01-01,Data Analyst,EN,FT,7240825.0,US,US,L,100,,,7240825.0
7.0,2020-01-01,Lead Data Scientist,SE,FT,15118205.0,US,US,S,100,,,15118205.0
44.0,2020-01-01,Data Engineer,MI,FT,8434367.0,US,US,L,100,,,8434367.0
20.0,2020-01-01,Lead Data Engineer,MI,FT,4455892.0,PT,US,M,100,,,4455892.0
56.0,2020-01-01,Principal Data Scientist,SE,FT,11797054.0,DE,DE,M,100,,,11797054.0
60.0,2020-01-01,Data Scientist,MI,FT,11008440.0,US,US,M,100,,,11008440.0
28.0,2020-01-01,Data Engineer,SE,FT,2666454.0,MX,MX,S,0,,,2666454.0
46.0,2020-01-01,ML Engineer,EN,PT,1270407.0,DE,DE,S,100,,,1270407.0
4.0,2020-01-01,Product Data Analyst,MI,FT,1591390.0,HN,HN,S,0,,,1591390.0
42.0,2020-01-01,Data Engineering Manager,EX,FT,6352272.0,ES,ES,L,50,,,6352272.0
22.0,2020-01-01,Product Data Analyst,MI,FT,483146.0,IN,IN,L,100,,,483146.0
68.0,2020-01-01,Data Science Manager,SE,FT,15134119.0,US,US,M,100,,,15134119.0
53.0,2020-01-01,AI Scientist,EN,FT,3651922.0,DK,DK,S,50,,,3651922.0
43.0,2020-01-01,Machine Learning Infrastructure Engineer,MI,FT,3992798.0,PT,PT,M,0,,,3992798.0
31.0,2020-01-01,Data Engineering Manager,MI,FT,4718710.0,DE,DE,S,100,,,4718710.0
32.0,2020-01-01,Big Data Engineer,EN,FT,5569865.0,US,US,L,100,,,5569865.0
49.0,2020-01-01,Data Scientist,MI,FT,8354798.0,US,US,L,100,,,8354798.0
47.0,2020-01-01,Data Scientist,MI,FT,6123510.0,GB,GB,S,100,,,6123510.0
14.0,2020-01-01,Lead Data Analyst,MI,FT,6922547.0,US,US,L,100,,,6922547.0
50.0,2020-01-01,Data Engineer,MI,FT,5580925.0,FR,FR,L,50,,,5580925.0
62.0,2020-01-01,Data Engineer,MI,FT,10407691.0,ES,US,M,100,,,10407691.0
71.0,2020-01-01,Data Scientist,MI,FT,4991076.0,FR,LU,S,50,,,4991076.0
17.0,2020-01-01,Data Engineer,EN,FT,3317173.0,JP,JP,S,100,,,3317173.0
29.0,2020-01-01,Business Data Analyst,EN,CT,7956950.0,US,US,L,100,,,7956950.0
51.0,2020-01-01,Data Analyst,EN,FT,483146.0,IN,IN,S,0,,,483146.0
30.0,2020-01-01,Machine Learning Manager,SE,FT,9317907.0,CA,CA,L,50,,,9317907.0
72.0,2020-01-01,Data Scientist,MI,FT,3357594.0,FR,FR,S,50,,,3357594.0
41.0,2020-01-01,Data Scientist,MI,FT,3641100.0,PH,US,S,100,,,3641100.0
36.0,2020-01-01,Data Engineer,MI,FT,5898487.0,AT,AT,L,50,,,5898487.0
33.0,2020-01-01,Data Scientist,SE,FT,5444782.0,GR,US,L,100,,,5444782.0
